hotel_id,city_id,name,rating,description,address,url,city,latitude,longitude
1,5,"Le Clémenceau - 6 pers, balcon & cœur de Rouen",,"Spacious Accommodations: Le Clémenceau in Rouen offers a spacious apartment with three bedrooms and one bathroom. The property includes a balcony with outdoor seating, ensuring comfortable outdoor spaces.

Modern Amenities: Guests enjoy free WiFi, a fully equipped kitchen with a coffee machine, microwave, and oven. Additional amenities include a washing machine, dining area, and work desk.

Prime Location: Located 51 mi from Deauville - Normandie Airport, the apartment is a short walk from Voltaire Station and Noter-Dame Cathedral. Nearby attractions include the Musee des Beaux-Arts de Rouen and Rouen Expo.",,https://www.booking.com/hotel/fr/le-clemenceau-6-pers-balcon-amp-coeur-de-rouen.html?aid=304142&label=gen173nr-10CAQoggJCFHNlYXJjaF9yb3VlbiwgZnJhbmNlSDNYBGg7iAEBmAEzuAEXyAEM2AED6AEB-AEBiAIBqAIBuAKr1JTUBsACAdICJDg4NGE0MjYzLTQzOGYtNDUzMy1iMTEzLTUzNzZlNDM5Y2I4Y9gCAeACAQ&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=1&hapos=1&sr_order=popularity&srpvid=33df1c15eae80044&srepoch=1787111981&from=searchresults,Rouen,49.4347679,1.0888978
2,5,ibis budget Rouen Centre Rive Gauche,8.3,"Hotel ibis budget Rouen Center Rive Gauche Gauche is located in Rouen, 1.5 mi from Rouen Kindarena Sports Hall.

All rooms are equipped with a flat-screen TV. Each room comes with a private bathroom.

There is luggage storage space at the property.

Noter-Dame Cathedral of Rouen is 1.6 mi from Hotel Ibis Budget, while Rouen University Hospital is 2.1 mi away. The nearest airport is Beauvais Tille Airport, 47 mi from Hotel ibis budget Rouen Center Rive Gauche Gauche.",,https://www.booking.com/hotel/fr/ibis-budget-rouen-centre-rive-gauche.html?aid=304142&label=gen173nr-10CAQoggJCFHNlYXJjaF9yb3VlbiwgZnJhbmNlSDNYBGg7iAEBmAEzuAEXyAEM2AED6AEB-AEBiAIBqAIBuAKr1JTUBsACAdICJDg4NGE0MjYzLTQzOGYtNDUzMy1iMTEzLTUzNzZlNDM5Y2I4Y9gCAeACAQ&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=2&hapos=2&sr_order=popularity&srpvid=33df1c15eae80044&srepoch=1787111981&from_sustainable_property_sr=1&from=searchresults,Rouen,49.425341,1.068718
3,5,"Radisson Blu Hotel, Rouen Centre",8.9,"Comfortable Accommodations: Rooms feature air conditioning, private bathrooms, minibars, and free WiFi. Additional amenities include balconies, terraces, and connecting rooms.

Wellness and Leisure: The hotel offers a spa and wellness center, sauna, fitness center, sun terrace, and hammam. Guests can also enjoy beauty services, wellness packages, and a fitness room.

Dining Experience: The modern restaurant serves French cuisine with brunch, lunch, and dinner. Breakfast includes local specialties, warm dishes, fresh pastries, and more.

Prime Location: Located in downtown Rouen, the hotel is less than 0.6 miles from Notre-Dame Cathedral and near attractions such as the Rouen Museum of Fine Arts. Beauvais–Tillé Airport is about 52 miles away.",,https://www.booking.com/hotel/fr/radisson-blu-rouen-centre.html?aid=304142&label=gen173nr-10CAQoggJCFHNlYXJjaF9yb3VlbiwgZnJhbmNlSDNYBGg7iAEBmAEzuAEXyAEM2AED6AEB-AEBiAIBqAIBuAKr1JTUBsACAdICJDg4NGE0MjYzLTQzOGYtNDUzMy1iMTEzLTUzNzZlNDM5Y2I4Y9gCAeACAQ&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=3&hapos=3&sr_order=popularity&srpvid=33df1c15eae80044&srepoch=1787111981&from_sustainable_property_sr=1&from=searchresults,Rouen,49.446441,1.09412
4,5,Hyatt Place Rouen,8.6,"Comfortable Accommodations: Hyatt Place Rouen in Rouen offers spacious rooms with air conditioning, private bathrooms, and modern amenities. Guests enjoy free WiFi, flat-screen TVs, and work desks.

Exceptional Facilities: The hotel features a fitness center, spa facilities, sun terrace, and a garden. Additional amenities include a steam room, wellness packages, and a minimarket.

Dining Experience: A modern restaurant serves French cuisine for lunch and dinner. Breakfast options include continental, American, buffet, vegetarian, and gluten-free.

Prime Location: Located less than 0.6 miles from Rouen Rive Droite Station and near Notre-Dame Cathedral, the hotel is about 52 miles from Beauvais–Tillé Airport. Surrounding activities include ice skating and boating.",,https://www.booking.com/hotel/fr/hyatt-place-rouen.html?aid=304142&label=gen173nr-10CAQoggJCFHNlYXJjaF9yb3VlbiwgZnJhbmNlSDNYBGg7iAEBmAEzuAEXyAEM2AED6AEB-AEBiAIBqAIBuAKr1JTUBsACAdICJDg4NGE0MjYzLTQzOGYtNDUzMy1iMTEzLTUzNzZlNDM5Y2I4Y9gCAeACAQ&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=4&hapos=4&sr_order=popularity&srpvid=33df1c15eae80044&srepoch=1787111981&from_sustainable_property_sr=1&from=searchresults,Rouen,49.453285640641354,1.0982852973166501
5,5,B&B HOTEL Rouen Centre,6.8,"Ideally located for exploring Rouen, a city of art, history, and culture. Whether you're traveling for business, visiting family, or on a weekend getaway, our hotel offers all the amenities you need for a successful stay.

Our rooms are designed to guarantee maximum comfort:
- Quality bedding
- Private bathroom with shower
- Free high-speed Wi-Fi
- Flat-screen TV with TNT channels
- Rooms accessible to people with reduced mobility (PMR).
We offer several configurations: double and twin rooms.

Full and delicious buffet breakfast
Every morning between 6:00 a.m. and 10:00 a.m., enjoy our all-you-can-eat buffet breakfast, served in a welcoming dining room.
On the menu: pastries, breads, brioche, jams, yogurts, cereals, eggs, ham, bacon, cheeses, hot drinks, and fruit juices.
An ideal way to start your day of work or discovery. 

Arrival and Departure Times
Check-in from 2:00 PM
Check-out until 12:00 PM
For late arrivals, please notify reception.

Secure Private Parking
We provide secure private parking (additional charge).
The rate is €6 per day. To access the parking lot, please go to ""Avenue de Bretagne,"" follow the signs for night access, and park at the letter K.
Public parking is also available nearby.

A Strategic Location in the Heart of Rouen
Located on the banks of the Seine, a few minutes' walk from the historic center of Rouen, our hotel enjoys an ideal central location for discovering the city's cultural and architectural riches.

Close to Museums and Cultural Sites
Rouen is a city with an exceptional heritage. From the hotel, you can easily access the main museums and monuments on foot or by public transport:

Museum of Fine Arts (15-minute walk): one of the richest collections in France, with works by Monet, Delacroix, Modigliani, and Gérard David.

Historial Joan of Arc: a multimedia immersion into the story of the Maid of Orléans, a must-see for history buffs.

Museum of Natural History: ideal for families, one of the oldest museums in France.

Rouen Cathedral (12-minute walk): a masterpiece of Gothic architecture, immortalized by Monet.

Gros-Horloge, Saint-Maclou Church, and Aître Saint-Maclou are all within walking distance.

Close to universities and training centers
The B&B Hôtel Rouen Center is also an excellent choice for students, teachers, researchers, or visiting parents:

University of Rouen Normandy – Pasteur Campus: less than 10 minutes on foot

Faculty of Law, Literature, and Humanities: accessible by bus or on foot

INSA Rouen, NEOMA Business School, CESI, ESIGELEC: easily accessible by public transport or car

CHU Charles Nicolle & University Hospital: less than 15 minutes by public transport

Practical on-site services

Lougne bar available from October 20th
Free high-speed Wi-Fi throughout the hotel

Vending machines with snacks and drinks

Pets welcome (surcharge)

Elevator

100% nonsmoking hotel

24-hour reception

Good value for money in the heart of the city

The B&B Hôtel Rouen Center offers you a An excellent compromise between comfort, location, and price. Whether you're on a short or extended stay, you'll appreciate our simple and efficient service, in a warm atmosphere.",,https://www.booking.com/hotel/fr/comforthotelrouencentre.html?aid=304142&label=gen173nr-10CAQoggJCFHNlYXJjaF9yb3VlbiwgZnJhbmNlSDNYBGg7iAEBmAEzuAEXyAEM2AED6AEB-AEBiAIBqAIBuAKr1JTUBsACAdICJDg4NGE0MjYzLTQzOGYtNDUzMy1iMTEzLTUzNzZlNDM5Y2I4Y9gCAeACAQ&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=5&hapos=5&sr_order=popularity&srpvid=33df1c15eae80044&srepoch=1787111981&from_sustainable_property_sr=1&from=searchresults,Rouen,49.4303262811811,1.0848328471183777
6,5,ibis Rouen Centre Rive Droite Pasteur,8.2,"Comfortable Accommodations: Rooms feature air conditioning, private bathrooms, work desks, and soundproofing. Each room includes a TV, wardrobe, and carpeted floors.

Exceptional Facilities: Guests enjoy a terrace, bar, and free WiFi. Additional amenities include an elevator, 24-hour front desk, daily housekeeping, coffee shop, full-day security, bicycle parking, and luggage storage.

Delicious Breakfast: A variety of breakfast options are available, including continental, American, buffet, vegetarian, and gluten-free. Local specialties, fresh pastries, cheese, fruits, and juice are served.

Prime Location: Located in Rouen, the hotel is about one mile from Notre-Dame Cathedral and around 53 miles from Deauville - Normandie Airport. Nearby attractions include an ice-skating rink and boating. Guests appreciate the convenient location, attentive staff, and room cleanliness.",,https://www.booking.com/hotel/fr/ibis-rouen-centre-rive-droite-pasteur.html?aid=304142&label=gen173nr-10CAQoggJCFHNlYXJjaF9yb3VlbiwgZnJhbmNlSDNYBGg7iAEBmAEzuAEXyAEM2AED6AEB-AEBiAIBqAIBuAKr1JTUBsACAdICJDg4NGE0MjYzLTQzOGYtNDUzMy1iMTEzLTUzNzZlNDM5Y2I4Y9gCAeACAQ&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=6&hapos=6&sr_order=popularity&srpvid=33df1c15eae80044&srepoch=1787111981&from_sustainable_property_sr=1&from=searchresults,Rouen,49.4435,1.07581
7,5,ibis Rouen Centre Champ de Mars,8.2,"Located just a 10-minute walk from the center of Rouen, ibis Rouen Champ de Mars offers a sauna and 24-hour reception. Rouen Cathedral is only a 15-minute walk from the hotel.

All rooms are air-conditioned and feature a flat-screen TV, wardrobe, desk and telephone. The private bathroom includes a hairdryer.

A buffet breakfast composed of sweet and savory dishes such as eggs, fruit salad, yogurts and juices is served every day. Pastries baked on site and fresh French Madeleine cakes are also on offer, as well as a hot beverage and a piece of fruit to take away. Outside of regular breakfast hours guests can also enjoy a lighter option, available from 04:00.

Guests can relax with a drink in the on-site bar and restaurants can be found in the city center.

Additional features include free WiFi access throughout and luggage storage. The train station is 1.2 mi away and the A150 motorway is ideally located a 10-minute drive from the hotel. Charging stations for electric cars are available at this property.",,https://www.booking.com/hotel/fr/ibis-rouen-champ-de-mars.html?aid=304142&label=gen173nr-10CAQoggJCFHNlYXJjaF9yb3VlbiwgZnJhbmNlSDNYBGg7iAEBmAEzuAEXyAEM2AED6AEB-AEBiAIBqAIBuAKr1JTUBsACAdICJDg4NGE0MjYzLTQzOGYtNDUzMy1iMTEzLTUzNzZlNDM5Y2I4Y9gCAeACAQ&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=7&hapos=7&sr_order=popularity&srpvid=33df1c15eae80044&srepoch=1787111981&from_sustainable_property_sr=1&from=searchresults,Rouen,49.43572312061268,1.1027312278747559
8,5,Loft moderne avec garage dans l'hyper centre,9.0,"Spacious and Modern: Loft moderne avec garage dans l'hyper center in Rouen offers a spacious, recently renovated apartment with free WiFi and free on-site private parking. The ground-floor unit includes two bedrooms, a living room, and a fully equipped kitchen.

Comfortable Amenities: The apartment features a dining area, sofa bed, walk-in shower, and a work desk. Additional amenities include a TV, microwave, dishwasher, and free toiletries. The property is pet-friendly and welcomes guests with pets.

Prime Location: Located in the city center, the apartment is a 7-minute walk from Noter-Dame Cathedral and less than 0.6 mi from the Musee des Beaux-Arts de Rouen. Beauvais–Tillé Airport is 52 mi away. Nearby attractions include Gare de Rouen Rive Droite and Voltaire Station.

Local Activities: Guests can enjoy nearby activities such as ice-skating and boating. The surrounding area offers various leisure options for a memorable stay.",,https://www.booking.com/hotel/fr/modern-loft-with-private-garage-in-rouen-center.html?aid=304142&label=gen173nr-10CAQoggJCFHNlYXJjaF9yb3VlbiwgZnJhbmNlSDNYBGg7iAEBmAEzuAEXyAEM2AED6AEB-AEBiAIBqAIBuAKr1JTUBsACAdICJDg4NGE0MjYzLTQzOGYtNDUzMy1iMTEzLTUzNzZlNDM5Y2I4Y9gCAeACAQ&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=8&hapos=8&sr_order=popularity&srpvid=33df1c15eae80044&srepoch=1787111981&from=searchresults,Rouen,49.4405213,1.1005273
9,5,Ibis Styles Rouen Centre Rive Gauche,8.4,"Comfortable Accommodations: Rooms feature air conditioning, private bathrooms with walk-in showers, city or inner courtyard views, and complimentary toiletries. Additional amenities include soundproofing, hardwood floors, and wardrobes.

Exceptional Facilities: Guests enjoy a sun terrace, bar, and free WiFi. The hotel offers a lounge, elevator, 24-hour front desk, daily housekeeping, indoor play area, electric vehicle charging, outdoor seating, family rooms, bicycle parking, express check-in and check-out, and luggage storage.

Delicious Breakfast: A continental buffet breakfast is served with juice, fresh pastries, pancakes, cheese, and fruits. Guests appreciate the quality and variety of the morning meal.

Prime Location: Located in Rouen, the hotel is about 1.2 miles from Voltaire Station and about 2.4 miles from Notre-Dame Cathedral. Deauville - Normandie Airport is around 51 miles away. Nearby attractions include an ice-skating rink and boating.",,https://www.booking.com/hotel/fr/ibis-styles-rouen-centre-rive-gauche.html?aid=304142&label=gen173nr-10CAQoggJCFHNlYXJjaF9yb3VlbiwgZnJhbmNlSDNYBGg7iAEBmAEzuAEXyAEM2AED6AEB-AEBiAIBqAIBuAKr1JTUBsACAdICJDg4NGE0MjYzLTQzOGYtNDUzMy1iMTEzLTUzNzZlNDM5Y2I4Y9gCAeACAQ&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=9&hapos=9&sr_order=popularity&srpvid=33df1c15eae80044&srepoch=1787111981&from_sustainable_property_sr=1&from=searchresults,Rouen,49.42498665756126,1.0686087460327043
10,5,Duplex vieux marché quartier historique wifi/parking,9.4,"Spacious Accommodations: Duplex vieux marché quartier historique wifi/parking in Rouen offers a spacious apartment with two bedrooms and two bathrooms. The property features parquet floors and a terrace with city views.

Modern Amenities: Guests enjoy free WiFi, air-conditioning, and a fully equipped kitchen with a fireplace. Additional amenities include a work desk, TV, and a washing machine.

Prime Location: Located in the city center, the apartment is an 8-minute walk from Noter-Dame Cathedral and less than 0.6 mi from Gare de Rouen Rive Droite. Nearby attractions include the Musee des Beaux-Arts de Rouen and Deauville - Normandie Airport, 53 mi away.

Guest Satisfaction: Highly rated for its convenient location, terrace, and room cleanliness.",,https://www.booking.com/hotel/fr/duplex-vieux-marche-quartier-historique-wifi-parking.html?aid=304142&label=gen173nr-10CAQoggJCFHNlYXJjaF9yb3VlbiwgZnJhbmNlSDNYBGg7iAEBmAEzuAEXyAEM2AED6AEB-AEBiAIBqAIBuAKr1JTUBsACAdICJDg4NGE0MjYzLTQzOGYtNDUzMy1iMTEzLTUzNzZlNDM5Y2I4Y9gCAeACAQ&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=10&hapos=10&sr_order=popularity&srpvid=33df1c15eae80044&srepoch=1787111981&from=searchresults,Rouen,49.4440668,1.0869848
