city_id,city,latitude,longitude,date,temp_day,temp_min,temp_max,feels_like_day,humidity,weather,clouds,wind_speed,pop,rain
1,Mont Saint Michel,48.6359541,-1.51146,2026-08-15,24.3,17.98,25.36,24.3,64,light rain,100,6.62,0.8,3.16
1,Mont Saint Michel,48.6359541,-1.51146,2026-08-16,25.98,16.96,26.2,25.98,55,broken clouds,72,6.87,0.0,0.0
1,Mont Saint Michel,48.6359541,-1.51146,2026-08-17,22.32,16.11,23.45,22.32,61,overcast clouds,97,5.92,0.0,0.0
1,Mont Saint Michel,48.6359541,-1.51146,2026-08-18,22.72,16.53,24.38,22.72,66,broken clouds,75,6.08,0.0,0.0
1,Mont Saint Michel,48.6359541,-1.51146,2026-08-19,20.18,16.18,21.96,20.18,62,overcast clouds,99,4.99,0.0,0.03
1,Mont Saint Michel,48.6359541,-1.51146,2026-08-20,20.09,15.19,21.56,20.09,50,overcast clouds,93,5.46,0.0,0.37
1,Mont Saint Michel,48.6359541,-1.51146,2026-08-21,19.64,13.61,21.14,19.64,65,moderate rain,19,6.36,0.4,11.5
2,St Malo,48.649518,-2.0260409,2026-08-15,21.27,18.73,21.57,21.27,76,light rain,100,6.89,0.6,2.11
2,St Malo,48.649518,-2.0260409,2026-08-16,22.11,18.31,22.11,22.11,68,overcast clouds,99,7.08,0.0,0.0
2,St Malo,48.649518,-2.0260409,2026-08-17,20.86,17.76,22.18,20.86,74,overcast clouds,93,5.91,0.0,0.0
2,St Malo,48.649518,-2.0260409,2026-08-18,21.4,17.15,22.76,21.4,74,broken clouds,73,7.34,0.0,0.0
2,St Malo,48.649518,-2.0260409,2026-08-19,18.89,17.31,20.65,18.89,71,overcast clouds,99,6.22,0.0,0.0
2,St Malo,48.649518,-2.0260409,2026-08-20,19.1,16.22,20.45,19.1,56,broken clouds,80,6.43,0.0,0.48
2,St Malo,48.649518,-2.0260409,2026-08-21,19.26,14.85,20.15,19.26,66,light rain,8,7.52,0.39,5.8
3,Bayeux,49.2764624,-0.7024738,2026-08-15,23.25,17.39,24.68,23.25,67,moderate rain,99,5.47,0.91,2.31
3,Bayeux,49.2764624,-0.7024738,2026-08-16,25.31,17.65,25.91,25.31,55,broken clouds,76,5.68,0.0,0.0
3,Bayeux,49.2764624,-0.7024738,2026-08-17,22.56,15.32,23.34,22.56,55,overcast clouds,95,5.38,0.0,0.0
3,Bayeux,49.2764624,-0.7024738,2026-08-18,24.88,14.85,25.95,24.88,59,broken clouds,61,7.41,0.0,0.01
3,Bayeux,49.2764624,-0.7024738,2026-08-19,21.76,15.02,23.7,21.76,47,overcast clouds,100,5.58,0.0,0.0
3,Bayeux,49.2764624,-0.7024738,2026-08-20,19.88,12.6,22.49,19.88,49,broken clouds,80,5.38,0.0,0.38
